Age,Gender,Country,City,Membership_Years,Login_Frequency,Session_Duration_Avg,Pages_Per_Session,Cart_Abandonment_Rate,Wishlist_Items,Total_Purchases,Average_Order_Value,Days_Since_Last_Purchase,Discount_Usage_Rate,Returns_Rate,Email_Open_Rate,Customer_Service_Calls,Product_Reviews_Written,Social_Media_Engagement_Score,Mobile_App_Usage,Payment_Method_Diversity,Lifetime_Value,Credit_Balance,Signup_Quarter
33.0,Female,Germany,Hamburg,4.8,5.0,,6.5,62.1,5.0,7.0,119.41,12.0,18.6,,0.0,5.0,3.0,4.5,10.0,3.0,855.25,,Q2
30.0,Female,UK,London,1.5,18.0,41.3,12.6,31.7,,16.0,34.79,23.0,17.2,3.1,31.4,3.0,4.0,21.9,30.6,2.0,480.17,2576.0,Q3
24.0,Male,USA,Phoenix,5.0,4.0,14.9,5.4,63.3,0.0,11.0,202.86,15.0,68.5,6.9,8.1,7.0,,23.6,12.9,1.0,2351.35,848.0,Q2
23.0,Male,Canada,Vancouver,0.5,29.0,53.9,12.0,38.7,12.0,24.0,188.73,24.0,5.0,3.1,45.1,3.0,3.0,79.3,33.6,3.0,3916.6,3174.0,Q2
52.0,Male,Germany,Berlin,3.0,8.0,19.1,5.8,67.4,2.0,8.0,101.68,14.0,62.0,0.3,0.0,6.0,3.0,12.2,10.4,3.0,684.17,1270.0,Q3
18.0,Female,Canada,Calgary,3.2,12.0,,6.0,67.9,10.0,16.0,62.3,9.0,48.5,3.9,26.2,2.0,,54.2,17.3,4.0,1162.08,4505.0,Q1
19.0,Male,Canada,Calgary,1.4,6.0,19.6,5.9,68.0,1.0,6.0,143.18,61.0,71.5,1.5,2.7,11.0,1.0,,9.4,1.0,999.46,,Q2
38.0,Female,UK,Glasgow,4.0,4.0,28.0,11.8,69.1,,10.0,172.32,0.0,22.2,22.1,30.9,7.0,4.0,,11.9,3.0,1426.94,3415.0,Q1
,Male,France,Toulouse,1.2,18.0,33.1,10.6,38.9,5.0,15.0,134.58,13.0,28.6,3.1,25.4,3.0,4.0,52.7,26.1,1.0,2203.77,2465.0,Q3
33.0,Female,UK,London,6.1,12.0,29.1,9.1,56.4,6.0,10.0,152.18,30.0,17.3,4.5,30.9,8.0,,40.8,,4.0,1791.1,1032.0,Q1
34.0,Female,USA,Houston,1.2,0.0,12.5,6.1,79.8,0.0,4.0,85.53,18.0,47.7,1.6,0.0,9.0,0.0,0.0,3.5,5.0,343.08,2679.0,Q3
44.0,Male,Germany,Cologne,3.1,16.0,23.3,8.2,70.4,4.0,9.0,61.17,17.0,41.3,3.4,38.9,9.0,,6.7,19.9,4.0,482.29,4050.0,Q1
37.0,Female,USA,Chicago,0.9,9.0,24.6,8.3,60.2,0.0,14.0,95.39,8.0,51.0,5.0,,5.0,6.0,2.3,25.8,2.0,1290.47,3249.0,Q3
30.0,Male,USA,New York,1.3,21.0,37.4,12.1,50.8,12.0,20.0,59.24,43.0,27.1,10.7,38.9,8.0,3.0,33.4,23.8,2.0,1203.94,2581.0,Q1
26.0,Female,India,Delhi,2.6,26.0,41.7,17.2,39.7,6.0,25.0,165.66,59.0,34.0,3.5,55.7,6.0,6.0,76.7,39.1,2.0,4236.98,4514.0,Q3
58.0,Male,Japan,Osaka,2.9,19.0,40.2,8.2,55.8,7.0,11.0,94.88,37.0,86.9,8.5,35.0,2.0,2.0,37.5,19.8,3.0,1242.81,1973.0,Q1
44.0,Male,USA,Phoenix,4.1,1.0,26.1,11.5,50.2,7.0,15.0,84.29,26.0,70.9,3.9,12.7,4.0,2.0,27.4,15.0,4.0,1045.1,909.0,Q2
25.0,Male,Germany,Berlin,4.3,11.0,23.6,10.2,64.3,3.0,8.0,109.78,32.0,31.4,9.0,6.7,6.0,2.0,15.7,14.4,4.0,935.22,1756.0,Q1
,Male,USA,Houston,7.8,20.0,35.9,10.3,51.1,2.0,16.0,56.64,4.0,24.1,0.5,22.4,3.0,2.0,,,2.0,922.59,2660.0,Q1
33.0,Male,UK,Manchester,5.7,15.0,21.1,5.1,52.7,5.0,11.0,161.09,33.0,24.5,8.7,12.4,1.0,2.0,,19.8,2.0,1482.22,,Q1
27.0,Male,USA,Phoenix,1.8,14.0,,2.6,73.0,1.0,9.0,162.16,33.0,,9.3,24.6,7.0,5.0,33.8,7.5,2.0,1246.92,1714.0,Q1
52.0,Male,Canada,Ottawa,5.0,9.0,,6.8,65.9,3.0,10.4,91.22,10.0,31.92,6.5,16.4,4.0,3.0,38.2,,2.0,621.64,2549.0,Q4
54.0,Male,India,Mumbai,1.1,10.0,19.4,4.9,57.3,3.0,5.0,101.93,,49.3,2.6,0.0,7.0,1.0,5.3,13.4,2.0,576.72,,Q2
30.0,Other,USA,Houston,0.6,6.0,26.7,2.3,60.4,3.0,6.0,135.31,33.0,38.2,3.1,33.5,11.0,6.0,12.2,7.6,3.0,823.29,2779.0,Q1
44.0,Male,Germany,Hamburg,4.9,5.0,9.8,4.3,76.2,,6.5,178.41,33.0,69.36,,6.9,9.0,1.0,,24.6,1.0,810.87,0.0,Q4
28.0,Female,UK,London,1.8,0.0,17.7,2.6,80.9,0.0,3.0,71.7,16.0,47.2,4.2,9.0,9.0,0.0,3.8,3.4,1.0,236.52,2145.0,Q1
33.0,Male,Canada,Toronto,5.0,9.0,22.8,9.9,54.0,3.0,12.0,100.61,,,6.4,,4.0,8.0,12.6,11.6,1.0,1370.49,1392.0,Q3
19.0,Male,USA,Houston,0.5,21.0,43.9,9.3,42.1,5.0,16.0,108.45,37.0,51.2,10.8,24.7,2.0,5.0,43.7,,2.0,1582.63,1933.0,Q1
18.0,Female,UK,Manchester,1.1,0.0,11.1,10.4,79.1,2.0,9.0,48.85,16.0,24.9,21.2,,6.0,6.0,29.8,5.9,4.0,479.6,1740.0,Q2
31.0,Male,Germany,Munich,3.5,0.0,10.7,5.8,86.8,1.0,2.6,104.81,14.0,,5.1,,9.0,1.0,0.0,0.3,3.0,236.16,1796.0,Q4
46.0,Male,USA,Chicago,0.8,22.0,38.0,13.1,42.1,7.0,17.0,101.99,8.0,82.2,3.4,34.8,2.0,6.0,,31.0,2.0,1739.64,1706.0,Q2
47.0,Female,USA,Phoenix,1.0,21.0,26.1,10.3,40.7,6.0,18.0,158.82,60.0,66.9,0.3,21.9,4.0,,4.8,19.7,2.0,3202.11,750.0,Q3
21.0,Female,India,Bangalore,1.4,4.0,18.4,5.6,56.3,1.0,5.0,207.24,62.0,53.1,4.1,19.2,6.0,0.0,7.2,,1.0,917.17,1670.0,Q2
49.0,Female,Canada,Ottawa,1.5,8.0,14.9,5.4,68.9,1.0,7.0,58.65,12.0,,4.6,9.0,7.0,1.0,3.1,11.9,2.0,402.3,0.0,Q2
50.0,Male,UK,Glasgow,3.6,4.0,19.8,7.6,79.6,2.0,14.3,73.78,12.0,46.2,3.1,15.0,11.0,,27.4,2.3,1.0,691.34,,Q4
27.0,Female,USA,Houston,8.5,2.0,26.9,5.6,54.5,7.0,12.0,114.23,52.0,37.6,6.6,28.0,8.0,2.0,,16.7,1.0,1215.83,2062.0,Q2
45.0,Male,Canada,Vancouver,0.3,23.0,37.8,,45.2,10.0,16.0,61.75,6.0,25.0,,29.9,6.0,3.0,48.6,30.0,2.0,956.55,1815.0,Q2
40.0,Female,USA,Los Angeles,1.9,0.0,24.3,11.2,63.1,2.0,8.0,239.88,6.0,1.7,4.6,,7.0,1.0,7.6,17.0,3.0,2142.17,2583.0,Q2
27.0,Female,France,Paris,2.2,7.0,26.8,8.4,51.0,5.0,16.900000000000002,55.03,2.0,108.0,6.0,35.5,5.0,4.0,24.7,25.2,3.0,688.04,2064.0,Q4
31.0,Female,USA,Houston,0.3,0.0,5.8,8.1,80.0,1.0,4.0,140.15,9.0,12.5,4.9,0.0,4.0,,33.0,10.1,1.0,486.92,0.0,Q3
58.0,Male,Australia,Brisbane,1.6,1.0,,4.9,80.6,0.0,5.0,112.68,20.0,23.1,11.2,,8.0,0.0,,,3.0,519.4,43.0,Q2
27.0,Male,USA,New York,4.3,12.0,30.5,7.3,62.1,1.0,19.5,117.02,11.0,32.16,5.1,22.3,4.0,2.0,18.9,11.3,4.0,1466.63,2447.0,Q4
33.0,Male,UK,Manchester,0.9,19.0,42.5,16.5,34.7,14.0,29.9,202.59,9.0,,5.0,38.8,3.0,10.0,47.1,32.7,4.0,4413.36,,Q4
34.0,Female,Germany,Berlin,2.2,9.0,24.5,9.4,45.8,4.0,14.0,193.71,,22.2,7.6,,8.0,3.0,26.8,29.0,3.0,2370.66,0.0,Q2
41.0,Female,India,Delhi,1.8,27.0,58.0,14.3,27.5,11.0,23.0,188.48,79.0,26.7,8.3,36.9,0.0,7.0,78.9,42.7,2.0,4018.89,3812.0,Q2
25.0,Female,Germany,Berlin,4.3,7.0,17.9,4.8,64.6,2.0,13.0,138.68,97.0,82.44,16.3,7.1,4.0,5.0,25.6,22.4,4.0,1493.32,2623.0,Q4
39.0,Male,India,Delhi,5.1,23.0,41.2,14.3,37.2,,21.0,61.83,175.0,29.5,3.8,41.5,4.0,5.0,61.2,36.4,1.0,1096.01,4406.0,Q2
29.0,Male,Japan,Kyoto,0.5,5.0,14.0,6.6,56.0,3.0,6.5,105.94,2.0,65.75999999999999,14.9,28.2,7.0,0.0,15.8,6.6,,466.22,618.0,Q4
18.0,Male,India,Chennai,3.1,23.0,42.9,13.5,48.3,10.0,16.0,76.18,14.0,,1.5,31.7,2.0,3.0,48.2,23.1,5.0,1098.66,,Q2
58.0,Female,USA,Houston,4.2,15.0,28.5,7.4,58.5,1.0,14.3,83.29,5.0,37.32,1.8,0.0,4.0,2.0,27.8,11.1,3.0,959.28,2551.0,Q4
53.0,Female,Germany,Munich,0.1,28.0,53.4,12.8,23.5,8.0,24.7,140.13,47.0,,,57.4,5.0,,46.8,34.4,3.0,2752.42,3357.0,Q4
29.0,Female,France,Nice,2.8,11.0,36.0,6.8,47.4,7.0,11.0,128.53,1.0,69.5,,8.4,8.0,5.0,,11.9,3.0,1658.46,1475.0,Q1
31.0,Female,USA,Phoenix,1.4,13.0,25.9,7.3,58.4,1.0,11.0,82.6,1.0,41.8,,20.8,10.0,3.0,16.3,15.1,1.0,800.03,1197.0,Q3
19.0,Male,UK,Manchester,1.4,7.0,32.2,10.5,55.6,1.0,9.0,95.63,14.0,21.7,,12.0,2.0,3.0,12.0,13.4,,807.63,1783.0,Q1
55.0,Male,Canada,Vancouver,4.6,8.0,,7.4,67.9,2.0,15.0,240.61,53.0,71.6,1.3,13.7,7.0,2.0,34.4,29.8,2.0,4060.9,2642.0,Q3
32.0,Male,UK,Leeds,2.4,0.0,24.1,6.5,81.8,3.0,5.0,113.28,58.0,46.5,,,7.0,2.0,16.9,13.8,3.0,465.87,3506.0,Q1
25.0,Male,Japan,Tokyo,2.5,0.0,14.0,4.5,69.0,0.0,6.5,118.79,20.0,41.52,3.2,3.9,11.0,0.0,0.0,6.7,5.0,662.26,0.0,Q4
46.0,Female,USA,Los Angeles,1.8,14.0,23.5,12.1,45.5,6.0,16.0,144.5,57.0,23.5,3.4,0.0,4.0,,33.6,,3.0,1867.5,1676.0,Q3
